"Fecha","SF45422","SF45423","SF45424","SF45425","SF45426","SF45427","SF45428","SF45429","SF45430","SF45431","SF45432","SF45433","SF45434","SF45435","SF45436","SF45437","SF45438","SF45439","SF45440","SF45441","SF45442","SF45443","SF45444","SF45445","SF45446","SF45447","SF45448","SF45449","SF45450","SF45451","SF45452","SF45453","SF45454","SF45455","SF45456","SF45457","SF45458","SF45459","SF45460","SF45461","SF45462","SF45463","SF45464","SF45465","SF45466","SF45467","SF45468","SF45469","SF45470","SF45471","SF45472","SF45473","SF45474","SF45475","SF45476","SF45477","SF45478","SF45479","SF45480","SF45481","SF45482","SF45483","SF45484","SF45485","SF46617","SF46618","SF46619","SF46620","SF50761","SF50762","SF50763","SF50764","SF50765","SF50766","SF50767","SF50768","SF59767","SF59768","SF59769","SF59770","SF59771","SF59772","SF59773","SF59774","SF59775","SF59776","SF59777","SF59778","SF60720","SF60721","SF60722","SF60723","SF61784","SF61785","SF61786","SF61787","SF64846","SF64847","SF64848","SF64849","SF66800","SF66801","SF66802","SF66803","SF66804","SF66805","SF66806","SF66807"
02/01/2015,27.000000,89.000000,174.000000,342.000000,N/E,1259.000000,1804.000000,N/E,3625.000000,7265.000000,N/E,N/E,2442.000000,N/E,N/E,N/E,9.979825,9.979825,9.927564,9.927564,9.855967,9.855967,9.701700,9.701700,N/E,N/E,99.995780,100.193697,99.208610,99.416943,N/E,N/E,131.596100,132.012767,114.430940,114.753857,N/E,N/E,N/E,N/E,100.343550,101.218050,N/E,N/E,N/E,N/E,N/E,N/E,2.695438,2.951374,3.023542,3.236546,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11633.000000,N/E,4.000000,N/E,N/E,606.013123,606.891973,272.000000,N/E,1798.000000,3.090000,N/E,3.070000,99.883680,99.960930,N/E,N/E,98.847220,99.034831,10177.000000,115.495760,115.818677,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
05/01/2015,24.000000,86.000000,171.000000,339.000000,N/E,1256.000000,1801.000000,N/E,3622.000000,7262.000000,N/E,N/E,2439.000000,N/E,N/E,N/E,9.982000,9.982000,9.930244,9.930244,9.858925,9.858925,9.705258,9.705258,N/E,N/E,100.089900,100.327400,99.126190,99.376190,N/E,N/E,131.480690,131.980690,114.447870,114.835370,N/E,N/E,N/E,N/E,100.335560,101.234810,N/E,N/E,N/E,N/E,N/E,N/E,2.704869,2.940531,3.012499,3.225060,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11630.000000,N/E,4.000000,N/E,N/E,600.434590,601.490027,269.000000,N/E,1795.000000,3.100000,N/E,3.080000,99.888870,99.992203,N/E,N/E,98.851000,99.064889,10174.000000,115.063800,115.451300,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/01/2015,23.000000,85.000000,170.000000,338.000000,N/E,1255.000000,1800.000000,N/E,3621.000000,7261.000000,N/E,N/E,2438.000000,N/E,N/E,N/E,9.983517,9.983517,9.931528,9.931528,9.860694,9.860694,9.708944,9.708944,N/E,N/E,100.304570,100.555264,99.430010,99.693899,N/E,N/E,132.035790,132.563568,115.546200,115.955228,N/E,N/E,N/E,N/E,100.353170,101.260670,N/E,N/E,N/E,N/E,N/E,N/E,2.584207,2.919984,2.991685,3.192937,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11629.000000,N/E,4.000000,N/E,N/E,608.221893,609.336254,268.000000,N/E,1794.000000,3.100000,N/E,3.080000,99.886440,99.998384,N/E,N/E,98.864730,99.087174,10173.000000,115.949420,116.358448,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
07/01/2015,22.000000,84.000000,169.000000,337.000000,N/E,1254.000000,1799.000000,N/E,3620.000000,7260.000000,N/E,N/E,2437.000000,N/E,N/E,N/E,9.984050,9.984050,9.932100,9.932100,9.861514,9.861514,9.710742,9.710742,N/E,N/E,100.630430,100.894319,99.825860,100.103638,N/E,N/E,132.844370,133.399926,116.776350,117.206906,N/E,N/E,N/E,N/E,100.555840,101.471590,N/E,N/E,N/E,N/E,N/E,N/E,2.614170,2.929894,2.991425,3.182039,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11628.000000,N/E,4.000000,N/E,N/E,612.794981,613.968295,267.000000,N/E,1793.000000,3.090000,N/E,3.070000,99.889880,100.010047,N/E,N/E,98.895730,99.125980,10172.000000,117.541350,117.971906,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
08/01/2015,28.000000,91.000000,182.000000,364.000000,N/E,1253.000000,1798.000000,N/E,3619.000000,7259.000000,N/E,N/E,2436.000000,N/E,N/E,N/E,9.978222,9.978222,9.926947,9.926947,9.850861,9.850861,9.689589,9.689589,N/E,N/E,100.806080,101.083163,100.207280,100.498947,N/E,N/E,133.361400,133.944733,117.811560,118.263643,N/E,N/E,N/E,N/E,100.557940,101.481940,N/E,N/E,N/E,N/E,N/E,N/E,2.806140,2.911277,2.994664,3.168348,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11627.000000,N/E,4.000000,N/E,N/E,617.527218,618.759516,420.000000,N/E,1792.000000,0.000000,N/E,0.000000,99.807840,99.807840,N/E,N/E,98.907440,98.907440,10171.000000,118.423380,118.875463,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
09/01/2015,27.000000,90.000000,181.000000,363.000000,N/E,1252.000000,1797.000000,N/E,3618.000000,7258.000000,N/E,N/E,2435.000000,N/E,N/E,N/E,9.978400,9.978400,9.928250,9.928250,9.851681,9.851681,9.691450,9.691450,N/E,N/E,100.860060,101.150338,100.226030,100.531586,N/E,N/E,133.273420,133.884531,117.692130,118.165741,N/E,N/E,N/E,N/E,100.562090,101.494340,N/E,N/E,N/E,N/E,N/E,N/E,2.886234,2.890741,2.994404,3.157422,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11626.000000,N/E,4.000000,N/E,N/E,614.494689,615.786001,419.000000,N/E,1791.000000,3.000000,N/E,3.000000,99.809680,99.818013,N/E,N/E,98.907740,98.916073,10170.000000,117.767130,118.240741,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
12/01/2015,24.000000,87.000000,178.000000,360.000000,N/E,1249.000000,1794.000000,N/E,3615.000000,7255.000000,N/E,N/E,2432.000000,N/E,N/E,N/E,9.980996,9.980996,9.930474,9.930474,9.853693,9.853693,9.693463,9.693463,N/E,N/E,100.765612,101.095473,100.090387,100.437609,N/E,N/E,133.069723,133.764167,117.436357,117.974551,N/E,N/E,N/E,N/E,100.570913,101.527913,N/E,N/E,N/E,N/E,N/E,N/E,2.856028,2.897080,3.002953,3.162306,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11623.000000,N/E,4.000000,N/E,N/E,614.117618,615.585592,416.000000,N/E,1788.000000,3.000000,N/E,3.000000,99.813196,99.846529,N/E,N/E,98.940420,98.973753,10167.000000,117.647017,118.185211,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
13/01/2015,23.000000,86.000000,177.000000,359.000000,N/E,1248.000000,1793.000000,N/E,3614.000000,7254.000000,N/E,N/E,2431.000000,N/E,N/E,N/E,9.981847,9.981847,9.931087,9.931087,9.854630,9.854630,9.694335,9.694335,N/E,N/E,100.540518,100.883574,99.992371,100.353482,N/E,N/E,132.966363,133.688585,117.429744,117.989466,N/E,N/E,N/E,N/E,100.570797,101.536047,N/E,N/E,N/E,N/E,N/E,N/E,2.846506,2.904748,3.000293,3.161810,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11622.000000,N/E,4.000000,N/E,N/E,610.953826,612.480645,415.000000,N/E,1787.000000,3.000000,N/E,3.000000,99.815293,99.856960,N/E,N/E,98.968663,99.010330,10166.000000,117.376807,117.936529,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
14/01/2015,22.000000,85.000000,176.000000,358.000000,N/E,1247.000000,1792.000000,N/E,3613.000000,7253.000000,N/E,N/E,2430.000000,N/E,N/E,N/E,9.982696,9.982696,9.931731,9.931731,9.855263,9.855263,9.693184,9.693184,N/E,N/E,100.768253,101.124503,100.349763,100.724763,N/E,N/E,133.676925,134.426925,118.603400,119.184650,N/E,N/E,N/E,N/E,100.726622,101.700122,N/E,N/E,N/E,N/E,N/E,N/E,2.836472,2.911268,3.004009,3.182959,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11621.000000,N/E,4.000000,N/E,N/E,617.881544,619.467197,414.000000,N/E,1786.000000,3.000000,N/E,3.000000,99.827331,99.877331,N/E,N/E,98.978532,99.028532,10165.000000,119.013120,119.594370,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
15/01/2015,28.000000,91.000000,175.000000,357.000000,N/E,1246.000000,1791.000000,N/E,3612.000000,7252.000000,N/E,N/E,2429.000000,N/E,N/E,N/E,9.978712,9.978712,9.926945,9.926945,9.856256,9.856256,9.693212,9.693212,N/E,N/E,100.951518,101.320962,100.654367,101.043256,N/E,N/E,134.422780,135.200558,119.891849,120.494627,N/E,N/E,N/E,N/E,100.726449,101.708199,N/E,N/E,N/E,N/E,N/E,N/E,2.742868,2.911357,3.000145,3.191574,N/E,4.750000,5.000000,N/E,10.000000,7.750000,N/E,N/E,2.970000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11620.000000,N/E,4.000000,N/E,N/E,625.332144,626.976641,413.000000,N/E,1785.000000,3.000000,N/E,3.000000,99.842074,99.900407,N/E,N/E,99.002598,99.060931,10164.000000,120.365582,120.968360,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
