,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,"""Fecha""","""SF45422""","""SF45438""","""SF45439""","""SF45470""","""SF45423""","""SF45440""","""SF45441""","""SF45471""","""SF45424""","""SF45442""","""SF45443""","""SF45472""","""SF45425""","""SF45444""","""SF45445""","""SF45473""","""SF45426""","""SF45446""","""SF45447""","""SF45474""","""SF59767""","""SF59773""","""SF59774""","""SF59770""","""SF59768""","""SF59775""","""SF59776""","""SF59771""","""SF59769""","""SF59777""","""SF59778""","""SF59772""","""SF45427""","""SF45448""","""SF45449""","""SF45475""","""SF45428""","""SF45450""","""SF45451""","""SF45476""","""SF45429""","""SF45452""","""SF45453""","""SF45477""","""SF45430""","""SF45454""","""SF45455""","""SF45478""","""SF45431""","""SF45456""","""SF45457""","""SF45479""","""SF60720""","""SF60721""","""SF60722""","""SF60723""","""SF61784""","""SF61785""","""SF61786""","""SF61787""","""SF45432""","""SF45458""","""SF45459""","""SF45480""","""SF50761""","""SF50765""","""SF50766""","""SF50763""","""SF50762""","""SF50767""","""SF50768""","""SF50764""","""SF64846""","""SF64847""","""SF64848""","""SF64849""","""SF108413""","""SF108414""","""SF108415""","""SF108416""","""SF45433""","""SF45460""","""SF45461""","""SF45481""","""SF66800""","""SF66801""","""SF66802""","""SF66803""","""SF161926""","""SF161928""","""SF161930""","""SF161932""","""SF45435""","""SF45464""","""SF45465""","""SF45483""","""SF66804""","""SF66805""","""SF66806""","""SF66807""","""SF161927""","""SF161929""","""SF161931""","""SF161933""","""SF45434""","""SF45462""","""SF45463""","""SF45482""","""SF165596""","""SF165598""","""SF165600""","""SF165602""","""SF165597""","""SF165599""","""SF165601""","""SF165603""","""SF45436""","""SF45466""","""SF45467""","""SF45484""","""SF45437""","""SF45468""","""SF45469""","""SF45485""","""SF46617""","""SF46618""","""SF46619""","""SF46620"""
1,02/01/2015,27.000000,9.979825,9.979825,2.695438,89.000000,9.927564,9.927564,2.951374,174.000000,9.855967,9.855967,3.023542,342.000000,9.701700,9.701700,3.236546,N/E,N/E,N/E,N/E,272.000000,99.883680,99.960930,3.090000,N/E,N/E,N/E,N/E,1798.000000,98.847220,99.034831,3.070000,1259.000000,99.995780,100.193697,4.750000,1804.000000,99.208610,99.416943,5.000000,N/E,N/E,N/E,N/E,3625.000000,131.596100,132.012767,10.000000,7265.000000,114.430940,114.753857,7.750000,10177.000000,115.495760,115.818677,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11633.000000,606.013123,606.891973,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2442.000000,100.343550,101.218050,2.970000,1056,99.3942,99.4717,3.10,1812,98.8223,98.8998,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
2,05/01/2015,24.000000,9.982000,9.982000,2.704869,86.000000,9.930244,9.930244,2.940531,171.000000,9.858925,9.858925,3.012499,339.000000,9.705258,9.705258,3.225060,N/E,N/E,N/E,N/E,269.000000,99.888870,99.992203,3.100000,N/E,N/E,N/E,N/E,1795.000000,98.851000,99.064889,3.080000,1256.000000,100.089900,100.327400,4.750000,1801.000000,99.126190,99.376190,5.000000,N/E,N/E,N/E,N/E,3622.000000,131.480690,131.980690,10.000000,7262.000000,114.447870,114.835370,7.750000,10174.000000,115.063800,115.451300,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11630.000000,600.434590,601.490027,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2439.000000,100.335560,101.234810,2.970000,1053,99.3994,99.5027,3.10,1809,98.8383,98.9416,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
3,06/01/2015,23.000000,9.983517,9.983517,2.584207,85.000000,9.931528,9.931528,2.919984,170.000000,9.860694,9.860694,2.991685,338.000000,9.708944,9.708944,3.192937,N/E,N/E,N/E,N/E,268.000000,99.886440,99.998384,3.100000,N/E,N/E,N/E,N/E,1794.000000,98.864730,99.087174,3.080000,1255.000000,100.304570,100.555264,4.750000,1800.000000,99.430010,99.693899,5.000000,N/E,N/E,N/E,N/E,3621.000000,132.035790,132.563568,10.000000,7261.000000,115.546200,115.955228,7.750000,10173.000000,115.949420,116.358448,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11629.000000,608.221893,609.336254,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2438.000000,100.353170,101.260670,2.970000,1052,99.4018,99.5138,3.10,1808,98.8484,98.9604,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
4,07/01/2015,22.000000,9.984050,9.984050,2.614170,84.000000,9.932100,9.932100,2.929894,169.000000,9.861514,9.861514,2.991425,337.000000,9.710742,9.710742,3.182039,N/E,N/E,N/E,N/E,267.000000,99.889880,100.010047,3.090000,N/E,N/E,N/E,N/E,1793.000000,98.895730,99.125980,3.070000,1254.000000,100.630430,100.894319,4.750000,1799.000000,99.825860,100.103638,5.000000,N/E,N/E,N/E,N/E,3620.000000,132.844370,133.399926,10.000000,7260.000000,116.776350,117.206906,7.750000,10172.000000,117.541350,117.971906,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11628.000000,612.794981,613.968295,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2437.000000,100.555840,101.471590,2.970000,1051,99.4123,99.5329,3.10,1807,98.8765,98.9970,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
5,08/01/2015,28.000000,9.978222,9.978222,2.806140,91.000000,9.926947,9.926947,2.911277,182.000000,9.850861,9.850861,2.994664,364.000000,9.689589,9.689589,3.168348,N/E,N/E,N/E,N/E,420.000000,99.807840,99.807840,0.000000,N/E,N/E,N/E,N/E,1792.000000,98.907440,98.907440,0.000000,1253.000000,100.806080,101.083163,4.750000,1798.000000,100.207280,100.498947,5.000000,N/E,N/E,N/E,N/E,3619.000000,133.361400,133.944733,10.000000,7259.000000,117.811560,118.263643,7.750000,10171.000000,118.423380,118.875463,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11627.000000,617.527218,618.759516,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2436.000000,100.557940,101.481940,2.970000,1050,99.4179,99.5471,3.10,1806,98.9082,99.0373,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
6,09/01/2015,27.000000,9.978400,9.978400,2.886234,90.000000,9.928250,9.928250,2.890741,181.000000,9.851681,9.851681,2.994404,363.000000,9.691450,9.691450,3.157422,N/E,N/E,N/E,N/E,419.000000,99.809680,99.818013,3.000000,N/E,N/E,N/E,N/E,1791.000000,98.907740,98.916073,3.000000,1252.000000,100.860060,101.150338,4.750000,1797.000000,100.226030,100.531586,5.000000,N/E,N/E,N/E,N/E,3618.000000,133.273420,133.884531,10.000000,7258.000000,117.692130,118.165741,7.750000,10170.000000,117.767130,118.240741,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11626.000000,614.494689,615.786001,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2435.000000,100.562090,101.494340,2.970000,1049,99.4222,99.5600,3.10,1805,98.9103,99.0481,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
7,12/01/2015,24.000000,9.980996,9.980996,2.856028,87.000000,9.930474,9.930474,2.897080,178.000000,9.853693,9.853693,3.002953,360.000000,9.693463,9.693463,3.162306,N/E,N/E,N/E,N/E,416.000000,99.813196,99.846529,3.000000,N/E,N/E,N/E,N/E,1788.000000,98.940420,98.973753,3.000000,1249.000000,100.765612,101.095473,4.750000,1794.000000,100.090387,100.437609,5.000000,N/E,N/E,N/E,N/E,3615.000000,133.069723,133.764167,10.000000,7255.000000,117.436357,117.974551,7.750000,10167.000000,117.647017,118.185211,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11623.000000,614.117618,615.585592,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2432.000000,100.570913,101.527913,2.970000,1046,99.4236,99.5872,3.10,1802,98.9210,99.0846,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
8,13/01/2015,23.000000,9.981847,9.981847,2.846506,86.000000,9.931087,9.931087,2.904748,177.000000,9.854630,9.854630,3.000293,359.000000,9.694335,9.694335,3.161810,N/E,N/E,N/E,N/E,415.000000,99.815293,99.856960,3.000000,N/E,N/E,N/E,N/E,1787.000000,98.968663,99.010330,3.000000,1248.000000,100.540518,100.883574,4.750000,1793.000000,99.992371,100.353482,5.000000,N/E,N/E,N/E,N/E,3614.000000,132.966363,133.688585,10.000000,7254.000000,117.429744,117.989466,7.750000,10166.000000,117.376807,117.936529,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11622.000000,610.953826,612.480645,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2431.000000,100.570797,101.536047,2.970000,1045,99.4193,99.5915,3.10,1801,98.9802,99.1524,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
9,14/01/2015,22.000000,9.982696,9.982696,2.836472,85.000000,9.931731,9.931731,2.911268,176.000000,9.855263,9.855263,3.004009,358.000000,9.693184,9.693184,3.182959,N/E,N/E,N/E,N/E,414.000000,99.827331,99.877331,3.000000,N/E,N/E,N/E,N/E,1786.000000,98.978532,99.028532,3.000000,1247.000000,100.768253,101.124503,4.750000,1792.000000,100.349763,100.724763,5.000000,N/E,N/E,N/E,N/E,3613.000000,133.676925,134.426925,10.000000,7253.000000,118.603400,119.184650,7.750000,10165.000000,119.013120,119.594370,7.750000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,11621.000000,617.881544,619.467197,4.000000,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,2430.000000,100.726622,101.700122,2.970000,1044,99.4381,99.6189,3.10,1800,99.0041,99.1849,3.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
